,grid1,grid2,category,action
77,2,3,similar_grid,"vflip, hflip"
78,2,5,similar_grid,add
79,3,5,similar_grid,add
80,4,5,similar_grid,inv
81,6,7,similar_grid,vflip
82,6,8,similar_grid,hflip
83,7,9,similar_grid,hflip
84,8,9,similar_grid,vflip
85,10,11,similar_grid,add
86,10,14,similar_grid,add
87,10,20,similar_grid,inv
88,10,30,similar_grid,vflip
89,11,21,similar_grid,inv
90,11,31,similar_grid,vflip
91,11,36,similar_grid,hflip
92,11,37,similar_grid,add
93,12,22,similar_grid,inv
94,12,48,similar_grid,add
95,13,23,similar_grid,inv
96,13,32,similar_grid,vflip
97,14,24,similar_grid,inv
98,14,33,similar_grid,vflip
99,14,36,similar_grid,hflip
100,14,37,similar_grid,add
101,14,43,similar_grid,add
102,14,50,similar_grid,add
103,15,25,similar_grid,inv
104,15,38,similar_grid,hflip
105,15,48,similar_grid,add
106,16,26,similar_grid,inv
107,16,34,similar_grid,"vflip, hflip"
108,16,48,similar_grid,add
109,17,27,similar_grid,inv
110,17,39,similar_grid,hflip
111,17,49,similar_grid,add
112,17,50,similar_grid,add
113,18,28,similar_grid,inv
114,18,40,similar_grid,hflip
115,18,49,similar_grid,add
116,18,63,similar_grid,add
117,19,29,similar_grid,inv
118,19,35,similar_grid,"vflip, hflip"
119,19,49,similar_grid,add
120,30,41,similar_grid,add
121,33,43,similar_grid,inv
122,33,50,similar_grid,add
123,34,48,similar_grid,add
124,34,49,similar_grid,add
125,35,49,similar_grid,add
126,37,43,similar_grid,add
127,37,50,similar_grid,add
128,38,48,similar_grid,add
129,39,47,similar_grid,add
130,39,50,similar_grid,add
131,40,47,similar_grid,add
132,41,51,similar_grid,inv
133,42,44,similar_grid,inv
134,42,45,similar_grid,add
135,42,46,similar_grid,add
136,42,61,similar_grid,add
137,42,62,similar_grid,add
138,43,50,similar_grid,add
139,43,51,similar_grid,add
140,43,53,similar_grid,inv
141,44,48,similar_grid,add
142,44,49,similar_grid,add
143,44,55,similar_grid,add
144,44,56,similar_grid,add
145,45,46,similar_grid,turn
146,45,54,similar_grid,add
147,45,55,similar_grid,inv
148,45,61,similar_grid,turn
149,45,62,similar_grid,turn
150,46,56,similar_grid,inv
151,46,61,similar_grid,turn
152,46,62,similar_grid,turn
153,47,57,similar_grid,inv
154,47,58,similar_grid,add
155,47,63,similar_grid,hflip
156,48,49,similar_grid,turn
157,48,51,similar_grid,add
158,48,52,similar_grid,add
159,48,55,similar_grid,add
160,48,56,similar_grid,add
161,48,57,similar_grid,add
162,48,58,similar_grid,inv
163,48,59,similar_grid,add
164,48,60,similar_grid,add
165,49,52,similar_grid,add
166,49,55,similar_grid,add
167,49,59,similar_grid,inv
168,49,56,similar_grid,add
169,49,58,similar_grid,add
170,50,51,similar_grid,add
171,50,58,similar_grid,add
172,50,60,similar_grid,inv
173,55,56,similar_grid,turn
174,58,59,similar_grid,turn
175,58,61,similar_grid,add
176,58,62,similar_grid,add
177,58,63,similar_grid,add
178,59,61,similar_grid,add
179,59,61,similar_grid,add
180,61,62,similar_grid,turn
0,63,25,different_grid,none
1,29,32,different_grid,none
2,48,45,different_grid,none
3,40,41,different_grid,none
4,6,48,different_grid,none
5,41,42,different_grid,none
6,33,38,different_grid,none
7,52,51,different_grid,none
8,25,34,different_grid,none
9,44,47,different_grid,none
10,10,54,different_grid,none
11,2,50,different_grid,none
12,59,32,different_grid,none
13,36,48,different_grid,none
14,55,61,different_grid,none
15,5,60,different_grid,none
16,30,4,different_grid,none
17,63,38,different_grid,none
18,29,45,different_grid,none
19,21,41,different_grid,none
20,40,54,different_grid,none
21,6,61,different_grid,none
22,22,5,different_grid,none
23,14,1,different_grid,none
24,25,47,different_grid,none
25,32,55,different_grid,none
26,35,60,different_grid,none
27,15,2,different_grid,none
28,26,11,different_grid,none
29,18,7,different_grid,none
30,59,45,different_grid,none
31,17,48,different_grid,none
32,36,61,different_grid,none
33,9,44,different_grid,none
34,28,57,different_grid,none
35,60,9,different_grid,none
36,11,4,different_grid,none
37,52,5,different_grid,none
38,44,1,different_grid,none
39,10,8,different_grid,none
40,21,54,different_grid,none
41,62,55,different_grid,none
42,54,51,different_grid,none
43,53,6,different_grid,none
44,45,2,different_grid,none
45,56,11,different_grid,none
46,22,18,different_grid,none
47,13,55,different_grid,none
48,16,60,different_grid,none
49,7,11,different_grid,none
50,48,12,different_grid,none
51,40,8,different_grid,none
52,6,15,different_grid,none
53,17,61,different_grid,none
54,9,57,different_grid,none
55,41,9,different_grid,none
56,60,22,different_grid,none
57,33,5,different_grid,none
58,52,18,different_grid,none
59,25,1,different_grid,none
60,44,14,different_grid,none
61,10,21,different_grid,none
62,2,17,different_grid,none
63,34,6,different_grid,none
64,4,63,different_grid,none
65,37,11,different_grid,none
66,3,18,different_grid,none
67,36,15,different_grid,none
68,55,28,different_grid,none
69,47,24,different_grid,none
70,5,27,different_grid,none
71,63,5,different_grid,none
72,29,12,different_grid,none
73,48,25,different_grid,none
74,21,8,different_grid,none
75,40,21,different_grid,none
76,6,28,different_grid,none
77,33,18,different_grid,none
78,25,14,different_grid,none
79,32,22,different_grid,none
80,51,35,different_grid,none
81,2,30,different_grid,none
82,43,31,different_grid,none
83,35,27,different_grid,none
84,1,34,different_grid,none
85,59,12,different_grid,none
86,17,15,different_grid,none
87,36,28,different_grid,none
88,9,11,different_grid,none
89,55,41,different_grid,none
90,28,24,different_grid,none
91,47,37,different_grid,none
92,5,40,different_grid,none
93,63,18,different_grid,none
94,29,25,different_grid,none
95,62,22,different_grid,none
96,39,38,different_grid,none
97,31,34,different_grid,none
98,13,22,different_grid,none
99,32,35,different_grid,none
100,51,48,different_grid,none
101,24,31,different_grid,none
102,43,44,different_grid,none
103,16,27,different_grid,none
104,35,40,different_grid,none
105,1,47,different_grid,none
106,59,25,different_grid,none
107,17,28,different_grid,none
108,58,29,different_grid,none
109,9,24,different_grid,none
110,28,37,different_grid,none
111,61,34,different_grid,none
112,27,41,different_grid,none
113,30,46,different_grid,none
114,62,35,different_grid,none
115,54,31,different_grid,none
116,20,38,different_grid,none
117,39,51,different_grid,none
118,12,34,different_grid,none
119,31,47,different_grid,none
120,4,30,different_grid,none
121,23,43,different_grid,none
122,13,35,different_grid,none
123,24,44,different_grid,none
124,16,40,different_grid,none
125,57,41,different_grid,none
126,26,53,different_grid,none
127,58,42,different_grid,none
128,50,38,different_grid,none
129,42,34,different_grid,none
130,61,47,different_grid,none
131,8,41,different_grid,none
132,27,54,different_grid,none
133,0,37,different_grid,none
134,19,50,different_grid,none
135,11,46,different_grid,none
136,30,59,different_grid,none
137,51,2,different_grid,none
138,54,44,different_grid,none
139,20,51,different_grid,none
140,12,47,different_grid,none
141,53,48,different_grid,none
142,4,43,different_grid,none
143,23,56,different_grid,none
144,56,53,different_grid,none
145,22,60,different_grid,none
146,55,8,different_grid,none
147,47,4,different_grid,none
148,5,7,different_grid,none
149,46,45,different_grid,none
150,38,41,different_grid,none
151,57,54,different_grid,none
152,49,50,different_grid,none
153,15,57,different_grid,none
154,7,53,different_grid,none
155,18,62,different_grid,none
156,39,5,different_grid,none
157,31,1,different_grid,none
158,42,47,different_grid,none
159,8,54,different_grid,none
160,0,50,different_grid,none
161,19,63,different_grid,none
162,11,59,different_grid,none
163,52,60,different_grid,none
164,32,2,different_grid,none
165,51,15,different_grid,none
166,43,11,different_grid,none
167,35,7,different_grid,none
168,1,14,different_grid,none
169,53,61,different_grid,none
170,45,57,different_grid,none
171,37,53,different_grid,none
172,3,60,different_grid,none
173,28,4,different_grid,none
174,61,1,different_grid,none
175,46,58,different_grid,none
176,38,54,different_grid,none
177,49,63,different_grid,none
178,62,2,different_grid,none
179,20,5,different_grid,none
180,39,18,different_grid,none
181,12,1,different_grid,none
182,31,14,different_grid,none
183,23,10,different_grid,none
184,33,60,different_grid,none
185,13,2,different_grid,none
186,25,56,different_grid,none
187,24,11,different_grid,none
188,16,7,different_grid,none
189,57,8,different_grid,none
190,34,61,different_grid,none
191,58,9,different_grid,none
192,50,5,different_grid,none
193,42,1,different_grid,none
194,61,14,different_grid,none
195,27,21,different_grid,none
196,19,17,different_grid,none
197,11,13,different_grid,none
198,30,26,different_grid,none
199,63,60,different_grid,none
200,21,63,different_grid,none
201,54,11,different_grid,none
202,20,18,different_grid,none
203,12,14,different_grid,none
204,53,15,different_grid,none
205,4,10,different_grid,none
206,46,12,different_grid,none
207,38,8,different_grid,none
208,57,21,different_grid,none
209,49,17,different_grid,none
210,15,24,different_grid,none
211,7,20,different_grid,none
212,26,33,different_grid,none
213,18,29,different_grid,none
214,50,18,different_grid,none
215,42,14,different_grid,none
216,8,21,different_grid,none
217,0,17,different_grid,none
218,19,30,different_grid,none
219,60,31,different_grid,none
220,11,26,different_grid,none
221,34,15,different_grid,none
222,53,28,different_grid,none
223,45,24,different_grid,none
224,37,20,different_grid,none
225,56,33,different_grid,none
226,3,27,different_grid,none
227,22,40,different_grid,none
228,46,25,different_grid,none
229,38,21,different_grid,none
230,49,30,different_grid,none
231,15,37,different_grid,none
232,7,33,different_grid,none
233,26,46,different_grid,none
234,18,42,different_grid,none
235,41,31,different_grid,none
236,60,44,different_grid,none
237,33,27,different_grid,none
238,52,40,different_grid,none
239,25,23,different_grid,none
240,44,36,different_grid,none
241,10,43,different_grid,none
242,2,39,different_grid,none
243,34,28,different_grid,none
244,45,37,different_grid,none
245,37,33,different_grid,none
246,3,40,different_grid,none
247,22,53,different_grid,none
248,14,49,different_grid,none
249,55,50,different_grid,none
250,63,27,different_grid,none
251,29,34,different_grid,none
252,48,47,different_grid,none
253,40,43,different_grid,none
254,6,50,different_grid,none
255,41,44,different_grid,none
256,33,40,different_grid,none
257,25,36,different_grid,none
258,10,56,different_grid,none
259,51,57,different_grid,none
260,2,52,different_grid,none
261,26,0,different_grid,none
262,59,34,different_grid,none
263,36,50,different_grid,none
264,55,63,different_grid,none
265,28,46,different_grid,none
266,47,59,different_grid,none
267,27,1,different_grid,none
268,5,62,different_grid,none
269,30,6,different_grid,none
270,63,40,different_grid,none
271,29,47,different_grid,none
272,21,43,different_grid,none
273,40,56,different_grid,none
274,6,63,different_grid,none
275,56,0,different_grid,none
276,22,7,different_grid,none
277,14,3,different_grid,none
278,32,57,different_grid,none
279,24,53,different_grid,none
280,57,1,different_grid,none
281,35,62,different_grid,none
282,15,4,different_grid,none
283,7,0,different_grid,none
284,26,13,different_grid,none
285,18,9,different_grid,none
286,59,47,different_grid,none
287,36,63,different_grid,none
288,9,46,different_grid,none
289,28,59,different_grid,none
290,60,11,different_grid,none
291,52,7,different_grid,none
292,44,3,different_grid,none
293,2,6,different_grid,none
294,62,57,different_grid,none
295,54,53,different_grid,none
296,20,60,different_grid,none
297,53,8,different_grid,none
298,45,4,different_grid,none
299,37,0,different_grid,none
300,56,13,different_grid,none
301,3,7,different_grid,none
302,22,20,different_grid,none
303,14,16,different_grid,none
304,55,17,different_grid,none
305,13,57,different_grid,none
306,16,62,different_grid,none
307,29,1,different_grid,none
308,48,14,different_grid,none
309,40,10,different_grid,none
310,6,17,different_grid,none
311,9,59,different_grid,none
312,41,11,different_grid,none
313,33,7,different_grid,none
314,52,20,different_grid,none
315,25,3,different_grid,none
316,44,16,different_grid,none
317,10,23,different_grid,none
318,51,24,different_grid,none
319,2,19,different_grid,none
320,59,1,different_grid,none
321,36,17,different_grid,none
322,55,30,different_grid,none
323,28,13,different_grid,none
324,47,26,different_grid,none
325,5,29,different_grid,none
326,63,7,different_grid,none
327,29,14,different_grid,none
328,48,27,different_grid,none
329,21,10,different_grid,none
330,40,23,different_grid,none
331,6,30,different_grid,none
332,25,16,different_grid,none
333,32,24,different_grid,none
334,51,37,different_grid,none
335,24,20,different_grid,none
336,43,33,different_grid,none
337,35,29,different_grid,none
338,1,36,different_grid,none
339,59,14,different_grid,none
340,36,30,different_grid,none
341,9,13,different_grid,none
342,28,26,different_grid,none
343,47,39,different_grid,none
344,5,42,different_grid,none
345,21,23,different_grid,none
346,62,24,different_grid,none
347,54,20,different_grid,none
348,20,27,different_grid,none
349,39,40,different_grid,none
350,31,36,different_grid,none
351,23,32,different_grid,none
352,13,24,different_grid,none
353,32,37,different_grid,none
354,24,33,different_grid,none
355,43,46,different_grid,none
356,16,29,different_grid,none
357,35,42,different_grid,none
358,1,49,different_grid,none
359,17,30,different_grid,none
360,58,31,different_grid,none
361,9,26,different_grid,none
362,50,27,different_grid,none
363,61,36,different_grid,none
364,27,43,different_grid,none
365,19,39,different_grid,none
366,30,48,different_grid,none
367,62,37,different_grid,none
368,54,33,different_grid,none
369,20,40,different_grid,none
370,39,53,different_grid,none
371,12,36,different_grid,none
372,31,49,different_grid,none
373,4,32,different_grid,none
374,23,45,different_grid,none
375,13,37,different_grid,none
376,46,34,different_grid,none
377,16,42,different_grid,none
378,57,43,different_grid,none
379,49,39,different_grid,none
380,15,46,different_grid,none
381,26,55,different_grid,none
382,18,51,different_grid,none
383,58,44,different_grid,none
384,50,40,different_grid,none
385,42,36,different_grid,none
386,61,49,different_grid,none
387,8,43,different_grid,none
388,27,56,different_grid,none
389,0,39,different_grid,none
390,19,52,different_grid,none
391,11,48,different_grid,none
392,30,61,different_grid,none
393,51,4,different_grid,none
394,43,0,different_grid,none
395,12,49,different_grid,none
396,53,50,different_grid,none
397,4,45,different_grid,none
398,56,55,different_grid,none
399,22,62,different_grid,none
400,14,58,different_grid,none
401,47,6,different_grid,none
402,5,9,different_grid,none
403,46,47,different_grid,none
404,38,43,different_grid,none
405,57,56,different_grid,none
406,15,59,different_grid,none
407,7,55,different_grid,none
408,39,7,different_grid,none
409,31,3,different_grid,none
410,42,49,different_grid,none
411,8,56,different_grid,none
412,0,52,different_grid,none
413,41,53,different_grid,none
414,11,61,different_grid,none
415,52,62,different_grid,none
416,32,4,different_grid,none
417,44,58,different_grid,none
418,24,0,different_grid,none
419,43,13,different_grid,none
420,35,9,different_grid,none
421,34,50,different_grid,none
422,53,63,different_grid,none
423,45,59,different_grid,none
424,37,55,different_grid,none
425,3,62,different_grid,none
426,61,3,different_grid,none
427,27,10,different_grid,none
428,38,56,different_grid,none
429,30,15,different_grid,none
430,62,4,different_grid,none
431,54,0,different_grid,none
432,20,7,different_grid,none
433,39,20,different_grid,none
434,12,3,different_grid,none
435,31,16,different_grid,none
436,23,12,different_grid,none
437,33,62,different_grid,none
438,13,4,different_grid,none
439,25,58,different_grid,none
440,46,1,different_grid,none
441,16,9,different_grid,none
442,57,10,different_grid,none
443,49,6,different_grid,none
444,34,63,different_grid,none
445,26,22,different_grid,none
446,58,11,different_grid,none
447,50,7,different_grid,none
448,42,3,different_grid,none
449,61,16,different_grid,none
450,8,10,different_grid,none
451,27,23,different_grid,none
452,0,6,different_grid,none
453,11,15,different_grid,none
454,30,28,different_grid,none
455,63,62,different_grid,none
456,12,16,different_grid,none
457,53,17,different_grid,none
458,4,12,different_grid,none
459,56,22,different_grid,none
460,22,29,different_grid,none
461,46,14,different_grid,none
462,38,10,different_grid,none
463,57,23,different_grid,none
464,49,19,different_grid,none
465,15,26,different_grid,none
466,7,22,different_grid,none
467,26,35,different_grid,none
468,18,31,different_grid,none
469,42,16,different_grid,none
470,8,23,different_grid,none
471,60,33,different_grid,none
472,11,28,different_grid,none
473,52,29,different_grid,none
474,34,17,different_grid,none
475,53,30,different_grid,none
476,45,26,different_grid,none
477,37,22,different_grid,none
478,56,35,different_grid,none
479,3,29,different_grid,none
480,22,42,different_grid,none
481,14,38,different_grid,none
482,38,23,different_grid,none
483,15,39,different_grid,none
484,7,35,different_grid,none
485,48,36,different_grid,none
486,18,44,different_grid,none
487,41,33,different_grid,none
488,60,46,different_grid,none
489,33,29,different_grid,none
490,52,42,different_grid,none
491,44,38,different_grid,none
492,10,45,different_grid,none
493,2,41,different_grid,none
494,34,30,different_grid,none
495,37,35,different_grid,none
496,3,42,different_grid,none
497,14,51,different_grid,none
498,55,52,different_grid,none
499,47,48,different_grid,none
500,63,29,different_grid,none
501,29,36,different_grid,none
502,21,32,different_grid,none
503,40,45,different_grid,none
504,6,52,different_grid,none
505,33,42,different_grid,none
506,25,38,different_grid,none
507,44,51,different_grid,none
508,10,58,different_grid,none
509,51,59,different_grid,none
510,2,54,different_grid,none
511,43,55,different_grid,none
512,26,2,different_grid,none
513,59,36,different_grid,none
514,36,52,different_grid,none
515,28,48,different_grid,none
516,47,61,different_grid,none
517,60,0,different_grid,none
518,63,42,different_grid,none
519,29,49,different_grid,none
520,21,45,different_grid,none
521,40,58,different_grid,none
522,39,62,different_grid,none
523,56,2,different_grid,none
524,22,9,different_grid,none
525,14,5,different_grid,none
526,13,46,different_grid,none
527,32,59,different_grid,none
528,24,55,different_grid,none
529,16,51,different_grid,none
530,15,6,different_grid,none
531,7,2,different_grid,none
532,48,3,different_grid,none
533,18,11,different_grid,none
534,59,49,different_grid,none
535,17,52,different_grid,none
536,9,48,different_grid,none
537,28,61,different_grid,none
538,41,0,different_grid,none
539,60,13,different_grid,none
540,52,9,different_grid,none
541,44,5,different_grid,none
542,10,12,different_grid,none
543,2,8,different_grid,none
544,62,59,different_grid,none
545,54,55,different_grid,none
546,20,62,different_grid,none
547,12,58,different_grid,none
548,45,6,different_grid,none
549,37,2,different_grid,none
550,3,9,different_grid,none
551,14,18,different_grid,none
552,55,19,different_grid,none
553,47,15,different_grid,none
554,13,59,different_grid,none
555,29,3,different_grid,none
556,48,16,different_grid,none
557,40,12,different_grid,none
558,6,19,different_grid,none
559,9,61,different_grid,none
560,50,62,different_grid,none
561,42,58,different_grid,none
562,41,13,different_grid,none
563,33,9,different_grid,none
564,25,5,different_grid,none
565,44,18,different_grid,none
566,10,25,different_grid,none
567,51,26,different_grid,none
568,2,21,different_grid,none
569,43,22,different_grid,none
570,59,3,different_grid,none
571,17,6,different_grid,none
572,36,19,different_grid,none
573,55,32,different_grid,none
574,28,15,different_grid,none
575,47,28,different_grid,none
576,5,31,different_grid,none
577,63,9,different_grid,none
578,29,16,different_grid,none
579,21,12,different_grid,none
580,40,25,different_grid,none
581,6,32,different_grid,none
582,39,29,different_grid,none
583,32,26,different_grid,none
584,51,39,different_grid,none
585,24,22,different_grid,none
586,43,35,different_grid,none
587,16,18,different_grid,none
588,35,31,different_grid,none
589,1,38,different_grid,none
590,59,16,different_grid,none
591,17,19,different_grid,none
592,36,32,different_grid,none
593,9,15,different_grid,none
594,5,44,different_grid,none
595,62,26,different_grid,none
596,54,22,different_grid,none
597,20,29,different_grid,none
598,39,42,different_grid,none
599,12,25,different_grid,none
600,31,38,different_grid,none
601,23,34,different_grid,none
602,13,26,different_grid,none
603,32,39,different_grid,none
604,24,35,different_grid,none
605,16,31,different_grid,none
606,35,44,different_grid,none
607,1,51,different_grid,none
608,58,33,different_grid,none
609,9,28,different_grid,none
610,50,29,different_grid,none
611,42,25,different_grid,none
612,61,38,different_grid,none
613,8,32,different_grid,none
614,27,45,different_grid,none
615,19,41,different_grid,none
616,30,50,different_grid,none
617,62,39,different_grid,none
618,54,35,different_grid,none
619,20,42,different_grid,none
620,12,38,different_grid,none
621,31,51,different_grid,none
622,4,34,different_grid,none
623,23,47,different_grid,none
624,46,36,different_grid,none
625,38,32,different_grid,none
626,57,45,different_grid,none
627,49,41,different_grid,none
628,7,44,different_grid,none
629,26,57,different_grid,none
630,18,53,different_grid,none
631,58,46,different_grid,none
632,50,42,different_grid,none
633,42,38,different_grid,none
634,61,51,different_grid,none
635,8,45,different_grid,none
636,27,58,different_grid,none
637,0,41,different_grid,none
638,19,54,different_grid,none
639,60,55,different_grid,none
640,11,50,different_grid,none
641,30,63,different_grid,none
642,51,6,different_grid,none
643,43,2,different_grid,none
644,1,5,different_grid,none
645,34,39,different_grid,none
646,53,52,different_grid,none
647,4,47,different_grid,none
648,45,48,different_grid,none
649,37,44,different_grid,none
650,56,57,different_grid,none
651,3,51,different_grid,none
652,14,60,different_grid,none
653,5,11,different_grid,none
654,46,49,different_grid,none
655,38,45,different_grid,none
656,57,58,different_grid,none
657,49,54,different_grid,none
658,15,61,different_grid,none
659,7,57,different_grid,none
660,39,9,different_grid,none
661,31,5,different_grid,none
662,23,1,different_grid,none
663,0,54,different_grid,none
664,41,55,different_grid,none
665,33,51,different_grid,none
666,32,6,different_grid,none
667,44,60,different_grid,none
668,24,2,different_grid,none
669,2,63,different_grid,none
670,35,11,different_grid,none
671,1,18,different_grid,none
672,34,52,different_grid,none
673,37,57,different_grid,none
674,58,0,different_grid,none
675,61,5,different_grid,none
676,27,12,different_grid,none
677,19,8,different_grid,none
678,30,17,different_grid,none
679,63,51,different_grid,none
680,29,58,different_grid,none
681,62,6,different_grid,none
682,54,2,different_grid,none
683,20,9,different_grid,none
684,39,22,different_grid,none
685,12,5,different_grid,none
686,31,18,different_grid,none
687,4,1,different_grid,none
688,23,14,different_grid,none
689,25,60,different_grid,none
690,46,3,different_grid,none
691,57,12,different_grid,none
692,49,8,different_grid,none
693,26,24,different_grid,none
694,18,20,different_grid,none
695,59,58,different_grid,none
696,58,13,different_grid,none
697,50,9,different_grid,none
698,42,5,different_grid,none
699,61,18,different_grid,none
700,8,12,different_grid,none
701,27,25,different_grid,none
702,19,21,different_grid,none
703,11,17,different_grid,none
704,53,19,different_grid,none
705,4,14,different_grid,none
706,45,15,different_grid,none
707,56,24,different_grid,none
708,22,31,different_grid,none
709,14,27,different_grid,none
710,46,16,different_grid,none
711,38,12,different_grid,none
712,57,25,different_grid,none
713,49,21,different_grid,none
714,15,28,different_grid,none
715,7,24,different_grid,none
716,26,37,different_grid,none
717,18,33,different_grid,none
718,0,21,different_grid,none
719,41,22,different_grid,none
720,60,35,different_grid,none
721,11,30,different_grid,none
722,52,31,different_grid,none
723,44,27,different_grid,none
724,10,34,different_grid,none
725,34,19,different_grid,none
726,53,32,different_grid,none
727,45,28,different_grid,none
728,37,24,different_grid,none
729,56,37,different_grid,none
730,3,31,different_grid,none
731,22,44,different_grid,none
732,14,40,different_grid,none
733,7,37,different_grid,none
734,48,38,different_grid,none
735,40,34,different_grid,none
736,6,41,different_grid,none
737,41,35,different_grid,none
738,60,48,different_grid,none
739,33,31,different_grid,none
740,52,44,different_grid,none
741,25,27,different_grid,none
742,44,40,different_grid,none
743,10,47,different_grid,none
744,2,43,different_grid,none
745,3,44,different_grid,none
746,36,41,different_grid,none
747,55,54,different_grid,none
748,47,50,different_grid,none
749,5,53,different_grid,none
750,63,31,different_grid,none
751,29,38,different_grid,none
752,21,34,different_grid,none
753,6,54,different_grid,none
754,33,44,different_grid,none
755,25,40,different_grid,none
756,32,48,different_grid,none
757,51,61,different_grid,none
758,2,56,different_grid,none
759,43,57,different_grid,none
760,35,53,different_grid,none
761,1,60,different_grid,none
762,26,4,different_grid,none
763,18,0,different_grid,none
764,59,38,different_grid,none
765,17,41,different_grid,none
766,36,54,different_grid,none
767,9,37,different_grid,none
768,28,50,different_grid,none
769,60,2,different_grid,none
770,10,1,different_grid,none
771,29,51,different_grid,none
772,21,47,different_grid,none
773,62,48,different_grid,none
774,31,60,different_grid,none
775,56,4,different_grid,none
776,22,11,different_grid,none
777,14,7,different_grid,none
778,13,48,different_grid,none
779,32,61,different_grid,none
780,24,57,different_grid,none
781,16,53,different_grid,none
782,7,4,different_grid,none
783,48,5,different_grid,none
784,40,1,different_grid,none
785,17,54,different_grid,none
786,58,55,different_grid,none
787,9,50,different_grid,none
788,28,63,different_grid,none
789,61,60,different_grid,none
790,41,2,different_grid,none
791,60,15,different_grid,none
792,52,11,different_grid,none
793,44,7,different_grid,none
794,2,10,different_grid,none
795,62,61,different_grid,none
796,54,57,different_grid,none
797,12,60,different_grid,none
798,4,56,different_grid,none
799,37,4,different_grid,none
800,3,11,different_grid,none
801,36,8,different_grid,none
802,55,21,different_grid,none
803,47,17,different_grid,none
804,13,61,different_grid,none
805,5,20,different_grid,none
806,29,5,different_grid,none
807,48,18,different_grid,none
808,21,1,different_grid,none
809,40,14,different_grid,none
810,6,21,different_grid,none
811,42,60,different_grid,none
812,0,63,different_grid,none
813,33,11,different_grid,none
814,25,7,different_grid,none
815,32,15,different_grid,none
816,51,28,different_grid,none
817,2,23,different_grid,none
818,43,24,different_grid,none
819,35,20,different_grid,none
820,1,27,different_grid,none
821,59,5,different_grid,none
822,17,8,different_grid,none
823,36,21,different_grid,none
824,9,4,different_grid,none
825,55,34,different_grid,none
826,28,17,different_grid,none
827,47,30,different_grid,none
828,5,33,different_grid,none
829,63,11,different_grid,none
830,29,18,different_grid,none
831,21,14,different_grid,none
832,62,15,different_grid,none
833,39,31,different_grid,none
834,31,27,different_grid,none
835,13,15,different_grid,none
836,32,28,different_grid,none
837,51,41,different_grid,none
838,43,37,different_grid,none
839,16,20,different_grid,none
840,35,33,different_grid,none
841,1,40,different_grid,none
842,59,18,different_grid,none
843,17,21,different_grid,none
844,58,22,different_grid,none
845,9,17,different_grid,none
846,28,30,different_grid,none
847,61,27,different_grid,none
848,27,34,different_grid,none
849,30,39,different_grid,none
850,62,28,different_grid,none
851,54,24,different_grid,none
852,20,31,different_grid,none
853,39,44,different_grid,none
854,12,27,different_grid,none
855,31,40,different_grid,none
856,4,23,different_grid,none
857,23,36,different_grid,none
858,13,28,different_grid,none
859,24,37,different_grid,none
860,16,33,different_grid,none
861,57,34,different_grid,none
862,58,35,different_grid,none
863,50,31,different_grid,none
864,42,27,different_grid,none
865,61,40,different_grid,none
866,8,34,different_grid,none
867,27,47,different_grid,none
868,0,30,different_grid,none
869,19,43,different_grid,none
870,11,39,different_grid,none
871,30,52,different_grid,none
872,54,37,different_grid,none
873,20,44,different_grid,none
874,12,40,different_grid,none
875,53,41,different_grid,none
876,4,36,different_grid,none
